Sample,Time (ms),ESP32_X,ESP32_Y,UWB_QF,ESP32_Ax,ESP32_Ay,ESP32_Az,ESP32_Gx,ESP32_Gy,ESP32_Gz,ESP32_Mx,ESP32_My,ESP32_Mz,Robotat_X_mm,Robotat_Y_mm,Robotat_Z_mm,Robotat_Roll,Robotat_Pitch,Robotat_Yaw
34,4668.001099984394,750.0,2151.0,77.0,0.07,-0.02,-0.88,-12.34,6.75,6.89,48.05,44.68,-7.93,-1162.9639863967896,-231.21196031570435,227.9498726129532,-0.8165695174297305,-1.7933605458761277,46.80252977868817
35,4773.8983999879565,776.0,2142.0,76.0,0.02,-0.13,-1.04,2.5,8.3,2.43,52.73,44.68,-6.8,-1160.7682704925537,-201.96692645549774,227.86936163902283,-0.7940081882486347,-1.877563887310593,46.39614648524179
36,4878.09769998421,772.0,2166.0,76.0,0.01,0.09,-0.94,-3.73,-2.46,0.23,49.22,45.86,-4.53,-1157.6639413833618,-170.07212340831757,227.66175866127014,-0.2535686614749736,-1.818500791070844,46.09753838086221
37,4982.42489999393,754.0,2218.0,72.0,-0.03,-0.08,-0.81,9.69,13.19,-3.28,51.56,42.33,0.0,-1155.7437181472778,-138.05045187473297,227.29426622390747,-0.39674858098497245,-1.9076112877018834,45.83638788409189
38,5086.081899993587,750.0,2235.0,78.0,-0.07,0.07,-1.01,3.27,-0.39,-0.94,53.91,43.5,5.66,-1153.4737348556519,-108.6716428399086,227.42959856987,-0.4825772990788285,-1.8036995239336926,45.95404253709826
39,5191.494500002591,765.0,2246.0,77.0,0.01,0.05,-1.04,-5.93,-4.82,1.62,53.91,43.5,5.66,-1150.4703760147095,-77.2254467010498,227.38879919052124,-0.394803580598032,-1.9114597800614301,45.8164962458123
40,5295.1911999844015,770.0,2249.0,77.0,0.02,0.12,-1.07,-0.47,-0.66,3.09,57.42,43.5,6.8,-1147.898554801941,-47.532275319099426,227.59026288986206,-0.41494354909751624,-1.8259089107750917,45.841620459949816
41,5399.688899982721,791.0,2286.0,77.0,0.07,0.06,-1.06,2.76,-11.48,2.49,56.25,49.38,10.2,-1146.0645198822021,-15.532142482697964,227.93085873126984,-0.8641498753472242,-1.9743132308764677,45.706148950636205
42,5503.939099988202,793.0,2323.0,78.0,0.14,0.25,-1.13,-11.91,-9.72,9.56,55.08,54.09,5.66,-1143.0045366287231,13.399188406765461,227.78524458408356,-0.7671899010430728,-1.7889006601719317,45.09700567591136
43,5608.232099999441,798.0,2363.0,69.0,-0.22,0.0,-1.06,-3.73,-0.24,1.6,55.08,57.61,4.53,-1141.4088010787964,28.205113485455513,227.8217375278473,-0.6195778839499386,-1.6244741188788143,44.43996189266951
44,5712.532300007297,789.0,2365.0,71.0,-0.01,-0.01,-0.99,-0.12,1.86,0.85,55.08,57.61,4.53,-1141.0402059555054,29.3369572609663,227.81187295913696,-0.47472998974123215,-1.6765734724873704,44.239940661092334
45,5816.480000008596,782.0,2436.0,55.0,-0.01,0.0,-0.99,0.05,0.17,0.61,53.91,55.26,4.53,-1141.3289308547974,29.389603063464165,227.81376540660858,-0.568740218139497,-1.6503424064364745,44.31709524731329
46,5920.845599990571,814.0,2439.0,77.0,0.0,-0.0,-1.0,-0.27,-0.12,-0.35,51.56,56.44,4.53,-1141.4438486099243,29.44330684840679,227.78551280498505,-0.6226591496648528,-1.6403186281808846,44.323622454434506
47,6025.447599997278,837.0,2445.0,74.0,0.01,0.0,-1.0,-0.29,0.38,-0.07,53.91,55.26,2.27,-1141.3925886154175,29.406286776065826,227.7727574110031,-0.55530241305261,-1.7266826160460462,44.28165158786286
48,6129.255200008629,844.0,2491.0,58.0,-0.06,-0.06,-1.07,4.01,-0.7,-51.06,52.73,56.44,4.53,-1141.6499614715576,29.588764533400536,227.8808355331421,-0.7433444764597206,-1.8194435656650094,45.81842036497879
49,6231.11669998616,839.0,2456.0,72.0,0.03,0.0,-0.99,0.22,-0.8,-0.71,52.73,56.44,4.53,-1140.9651041030884,29.936468228697777,227.71169245243073,-0.5290108653520571,-1.7352100908153307,47.74796348028108
50,6335.665999999037,832.0,2476.0,56.0,0.01,0.0,-1.0,-0.93,0.31,-0.61,53.91,54.09,6.8,-1140.8770084381104,29.927128925919533,227.7519851922989,-0.4742089189753048,-1.6822087937616819,47.75137218665803
51,8081.599900004221,791.0,2568.0,69.0,0.04,-0.05,-0.87,-3.28,4.89,1.5,63.28,52.91,-5.66,-1144.445538520813,196.7504322528839,227.72008180618286,0.07030170528068727,-1.3943148511875603,52.13873988510633
52,8185.407999990275,782.0,2607.0,78.0,0.18,-0.13,-0.79,-4.74,4.03,6.09,65.62,54.09,-6.8,-1146.1901664733887,226.01790726184845,227.65229642391205,-0.4811425587187018,-1.5506889559932069,52.2149047725376
53,8289.423299982445,775.0,2610.0,78.0,-0.0,0.04,-1.17,5.76,-0.6,4.07,65.62,54.09,-6.8,-1146.5840339660645,258.025586605072,227.4314910173416,-0.2422524988306383,-1.4549701028916966,51.599232714071015
54,8433.055700006662,777.0,2651.0,77.0,0.03,-0.03,-1.28,-4.18,0.45,0.13,71.48,51.73,-11.33,-1149.0874290466309,299.4912266731262,226.91527009010315,-0.48678663520260596,-1.991464014008698,51.240228684340615
55,8566.567600006238,740.0,2683.0,78.0,0.02,-0.18,-1.02,4.24,3.31,3.19,75.0,49.38,-9.06,-1149.554967880249,338.6737108230591,226.92911326885223,-0.8165455026006516,-1.923278108333465,51.36214641984124
56,8670.256099983817,754.0,2749.0,76.0,-0.1,0.12,-0.91,-11.11,-4.85,5.18,75.0,49.38,-9.06,-1148.4944820404053,368.22474002838135,227.1103411912918,-0.35491208677018976,-1.5031964963062279,50.99981817418495
57,8774.24699999392,750.0,2786.0,76.0,-0.05,-0.11,-1.18,-0.36,-5.15,2.84,79.69,47.03,-11.33,-1150.532841682434,400.5163609981537,227.35199332237244,-0.9939215982208341,-1.841472341521292,50.88797380937806
58,8879.128000000492,765.0,2842.0,76.0,-0.11,-0.0,-0.9,0.2,-7.74,4.19,84.37,48.21,-9.06,-1148.931622505188,430.2029609680176,227.54722833633423,-0.4243799987024507,-1.407523236801333,50.766870773568805
59,8983.501699985936,766.0,2882.0,76.0,0.12,-0.17,-1.06,-5.27,-0.24,5.83,84.37,50.56,-5.66,-1149.741291999817,462.4844193458557,227.17797756195068,-0.6729339048911398,-1.681419797021409,50.07894604785832
60,9151.20449999813,760.0,2956.0,70.0,-0.1,0.06,-0.83,5.59,-2.02,3.67,85.55,51.73,-4.53,-1149.4743824005127,512.0605230331421,226.51313245296478,-0.3938214550626064,-1.660160539767986,49.82357995585017
