1116.824: started location data observation of C6:8E:82:5A:0A:06
1123.613: 0xâ€¦D31C location data: position: x=1695 y=2527 z=973 q=78; distances: 57B0 distance=Distance{length=2023, quality=100}, D286 distance=Distance{length=2974, quality=100}, 47B2 distance=Distance{length=3475, quality=100}, 151A distance=Distance{length=5331, quality=100}
1123.712: 0xâ€¦D31C location data: position: x=1708 y=2631 z=941 q=73; distances: 57B0 distance=Distance{length=2004, quality=100}, D286 distance=Distance{length=3185, quality=100}, 47B2 distance=Distance{length=3377, quality=100}, 151A distance=Distance{length=5321, quality=100}
1123.811: 0xâ€¦D31C location data: position: x=1702 y=2663 z=919 q=76; distances: 57B0 distance=Distance{length=1873, quality=100}, D286 distance=Distance{length=2796, quality=100}, 47B2 distance=Distance{length=3302, quality=100}, 151A distance=Distance{length=5494, quality=100}
1123.928: 0xâ€¦D31C location data: position: x=1701 y=2721 z=1009 q=79; distances: 57B0 distance=Distance{length=1915, quality=100}, D286 distance=Distance{length=3063, quality=100}, 47B2 distance=Distance{length=3386, quality=100}, 151A distance=Distance{length=5649, quality=100}
1124.011: 0xâ€¦D31C location data: position: x=1678 y=2809 z=948 q=66; distances: 57B0 distance=Distance{length=1751, quality=100}, D286 distance=Distance{length=3147, quality=100}, 47B2 distance=Distance{length=3372, quality=100}, 151A distance=Distance{length=5663, quality=100}
1124.112: 0xâ€¦D31C location data: position: x=1673 y=2913 z=923 q=64; distances: 57B0 distance=Distance{length=1681, quality=100}, D286 distance=Distance{length=3283, quality=100}, 47B2 distance=Distance{length=3264, quality=100}, 151A distance=Distance{length=5752, quality=100}
1124.229: 0xâ€¦D31C location data: position: x=1660 y=3000 z=1018 q=67; distances: 57B0 distance=Distance{length=1634, quality=100}, D286 distance=Distance{length=3349, quality=100}, 47B2 distance=Distance{length=3335, quality=100}, 151A distance=Distance{length=5766, quality=100}
1124.312: 0xâ€¦D31C location data: position: x=1625 y=3071 z=997 q=61; distances: 57B0 distance=Distance{length=1616, quality=100}, D286 distance=Distance{length=3363, quality=100}, 47B2 distance=Distance{length=3461, quality=100}, 151A distance=Distance{length=5724, quality=100}
1124.413: 0xâ€¦D31C location data: position: x=1599 y=3122 z=971 q=61; distances: 57B0 distance=Distance{length=1531, quality=100}, D286 distance=Distance{length=3260, quality=100}, 47B2 distance=Distance{length=3372, quality=100}, 151A distance=Distance{length=5748, quality=100}
1124.512: 0xâ€¦D31C location data: position: x=1576 y=3149 z=1022 q=65; distances: 57B0 distance=Distance{length=1475, quality=100}, D286 distance=Distance{length=3180, quality=100}, 47B2 distance=Distance{length=3363, quality=100}, 151A distance=Distance{length=5795, quality=100}
1124.613: 0xâ€¦D31C location data: position: x=1588 y=3219 z=1111 q=63; distances: 57B0 distance=Distance{length=1447, quality=100}, D286 distance=Distance{length=3396, quality=100}, 47B2 distance=Distance{length=3185, quality=100}, 151A distance=Distance{length=5827, quality=100}
1124.711: 0xâ€¦D31C location data: position: x=1561 y=3337 z=1063 q=57; distances: 57B0 distance=Distance{length=1301, quality=100}, D286 distance=Distance{length=3621, quality=100}, 47B2 distance=Distance{length=3316, quality=100}, 151A distance=Distance{length=5893, quality=100}
1124.813: 0xâ€¦D31C location data: position: x=1535 y=3443 z=1070 q=58; distances: 57B0 distance=Distance{length=1306, quality=100}, 47B2 distance=Distance{length=3405, quality=100}, D286 distance=Distance{length=3752, quality=100}, 151A distance=Distance{length=5912, quality=100}
1124.912: 0xâ€¦D31C location data: position: x=1521 y=3526 z=1081 q=58; distances: 57B0 distance=Distance{length=1316, quality=100}, 47B2 distance=Distance{length=3377, quality=100}, D286 distance=Distance{length=3776, quality=100}, 151A distance=Distance{length=5917, quality=100}
1125.011: 0xâ€¦D31C location data: position: x=1494 y=3612 z=1087 q=60; distances: 57B0 distance=Distance{length=1228, quality=100}, 47B2 distance=Distance{length=3433, quality=100}, D286 distance=Distance{length=3836, quality=100}, 151A distance=Distance{length=6343, quality=100}
1125.128: 0xâ€¦D31C location data: position: x=1481 y=3669 z=1115 q=59; distances: 57B0 distance=Distance{length=1246, quality=100}, 47B2 distance=Distance{length=3396, quality=100}, D286 distance=Distance{length=3813, quality=100}, 151A distance=Distance{length=7256, quality=100}
1125.213: 0xâ€¦D31C location data: position: x=1501 y=3729 z=1115 q=58; distances: 57B0 distance=Distance{length=1255, quality=100}, 47B2 distance=Distance{length=3180, quality=100}, D286 distance=Distance{length=3827, quality=100}, 151A distance=Distance{length=6034, quality=100}
