Sample;Time (ms);ESP32_X;ESP32_Y;UWB_QF;ESP32_Ax;ESP32_Ay;ESP32_Az;ESP32_Gx;ESP32_Gy;ESP32_Gz;ESP32_Mx;ESP32_My;ESP32_Mz;Robotat_X_mm;Robotat_Y_mm;Robotat_Z_mm;Robotat_Roll;Robotat_Pitch;Robotat_Yaw
56;9911.0444;1430;552;70;0.02;-0.03;-0.99;-0.46;0.29;-0.04;85.55;50.56;3.4;-524.8598456;-1927.45769;232.5679064;-1.292241236;-1.237319741;46.46211544
57;10014.8208;1431;551;75;0.02;-0.03;-1;-0.28;0.23;-0.1;85.55;50.56;3.4;-524.8456597;-1927.475095;232.5748056;-1.290026277;-1.209779089;46.47422078
58;10119.4397;1441;547;82;0.02;-0.03;-1;-0.22;0.11;0.14;85.55;52.91;3.4;-524.8443484;-1927.453876;232.591629;-1.288482807;-1.199495825;46.47970156
59;10223.8249;1436;564;70;0.01;-0.03;-0.99;-0.04;0.11;-0.04;89.06;52.91;5.66;-524.8541832;-1927.462339;232.5879931;-1.274842847;-1.202670278;46.47538151
60;10421.279;1436;536;73;0.01;-0.02;-1;-0.1;0.35;-0.16;87.89;51.73;4.53;-524.8661637;-1927.451372;232.5902134;-1.288186152;-1.252107946;46.4681685
61;10526.0612;1444;546;79;0.02;-0.02;-1;-0.28;0.17;0.14;85.55;50.56;4.53;-524.8714685;-1927.464247;232.5658947;-1.278717289;-1.236210055;46.47430642
62;10629.451;1444;552;71;0.02;-0.03;-1;-0.34;0.29;0.02;85.55;51.73;4.53;-524.8450637;-1927.44875;232.6013148;-1.288233619;-1.228682541;46.46765496
63;10732.951;1442;537;72;0.01;-0.03;-0.99;-0.1;0.29;-0.04;87.89;52.91;4.53;-524.8788595;-1927.455425;232.5755358;-1.282386616;-1.214390555;46.46491433
64;10837.5492;1447;535;74;0.01;-0.03;-0.99;-0.16;0.29;-0.1;86.72;54.09;4.53;-524.8424411;-1927.450061;232.5805873;-1.27877204;-1.22987657;46.47362069
65;10940.9316;1447;556;70;0.01;-0.03;-1;-0.04;-0.02;0.08;86.72;54.09;4.53;-524.8932242;-1927.461386;232.5435281;-1.283151401;-1.210570217;46.47039916
66;11046.049;1453;545;74;0.02;-0.03;-1;0.09;0.11;0.14;89.06;52.91;6.8;-524.8524547;-1927.464247;232.5895578;-1.278291151;-1.182479012;46.48118045
67;11150.2773;1464;556;80;0.02;-0.03;-1;0.09;0.17;0.02;86.72;52.91;2.27;-524.8662829;-1927.465558;232.5766981;-1.277309853;-1.226324776;46.47498944
68;11255.5414;1451;538;71;0.01;-0.03;-1;-0.34;0.35;0.14;85.55;52.91;3.4;-524.8522162;-1927.463293;232.5833291;-1.277858998;-1.232080585;46.47057508
